expense_id,employee_id,department,job_level,category,amount,currency,expense_date,day_of_week,weekend,submission_hour,travel_distance_km,city,country,receipt_uploaded,manager_approved,claim_delay_days,is_anomaly
EXP00001,EMP140,IT,Director,TRAVEL,355.52,MAD,2026-01-07,WEDNESDAY,0,19,140,Casablanca,Morocco,1,1,1,0
EXP00002,EMP051,Operations,Director,MEAL,3004.04,MAD,2026-02-25,WEDNESDAY,0,3,0,Rabat,Morocco,0,0,60,1
EXP00003,EMP088,HR,Senior,MEAL,162.76,MAD,2026-03-13,FRIDAY,0,8,0,Rabat,Morocco,1,1,4,0
EXP00004,EMP089,Marketing,Manager,TRAINING,313.17,MAD,2026-03-28,SATURDAY,1,9,0,Casablanca,Morocco,1,1,7,0
EXP00005,EMP076,Operations,Manager,MEAL,180.7,MAD,2026-05-18,MONDAY,0,9,0,Agadir,Morocco,1,1,5,0
EXP00006,EMP060,IT,Director,OTHER,231.22,MAD,2026-01-18,SUNDAY,1,8,0,Marrakech,Morocco,1,1,1,0
EXP00007,EMP019,Marketing,Senior,MEAL,171.7,MAD,2026-04-04,SATURDAY,1,10,0,Agadir,Morocco,1,1,3,0
EXP00008,EMP143,Sales,Manager,MEAL,159.68,MAD,2026-02-11,WEDNESDAY,0,15,0,Casablanca,Morocco,1,1,6,0
EXP00009,EMP081,Sales,Director,TRAVEL,323.47,MAD,2026-01-09,FRIDAY,0,13,205,Tanger,Morocco,1,1,5,0
EXP00010,EMP144,Marketing,Manager,MEAL,109.49,MAD,2026-06-14,SUNDAY,1,15,0,Fès,Morocco,1,1,6,0
EXP00011,EMP131,Finance,Junior,MEAL,162.57,MAD,2026-05-30,SATURDAY,1,14,0,Casablanca,Morocco,1,1,2,0
EXP00012,EMP099,Finance,Director,TRAVEL,458.63,MAD,2026-02-09,MONDAY,0,18,81,Agadir,Morocco,1,1,1,0
EXP00013,EMP069,Operations,Manager,MEAL,140.97,MAD,2026-05-22,FRIDAY,0,8,0,Casablanca,Morocco,1,1,5,0
EXP00014,EMP129,Sales,Junior,HOTEL,828.22,MAD,2026-02-10,TUESDAY,0,15,1,Fès,Morocco,1,1,3,0
EXP00015,EMP136,IT,Manager,HOTEL,854.44,MAD,2026-06-13,SATURDAY,1,16,101,Tanger,Morocco,1,1,5,0
EXP00016,EMP062,IT,Senior,MEAL,3463.33,MAD,2026-04-03,FRIDAY,0,23,0,Agadir,Morocco,0,0,44,1
EXP00017,EMP137,Sales,Senior,MEAL,125.99,MAD,2026-01-22,THURSDAY,0,19,0,Fès,Morocco,1,1,7,0
EXP00018,EMP055,Marketing,Senior,MEAL,187.9,MAD,2026-05-21,THURSDAY,0,10,0,Fès,Morocco,1,1,4,0
EXP00019,EMP064,Sales,Junior,FUEL,259.14,MAD,2026-06-21,SUNDAY,1,18,191,Marrakech,Morocco,1,1,1,0
EXP00020,EMP059,IT,Junior,TRAVEL,6151.63,MAD,2026-05-22,FRIDAY,0,3,2,Marrakech,Morocco,0,0,28,1
EXP00021,EMP147,Marketing,Director,MEAL,143.53,MAD,2026-03-02,MONDAY,0,12,0,Rabat,Morocco,1,1,2,0
EXP00022,EMP109,Finance,Director,CLIENT_MEETING,282.9,MAD,2026-04-15,WEDNESDAY,0,11,0,Fès,Morocco,1,1,3,0
EXP00023,EMP028,Sales,Senior,TRAVEL,351.17,MAD,2026-06-17,WEDNESDAY,0,18,50,Rabat,Morocco,1,1,7,0
EXP00024,EMP114,Marketing,Junior,HOTEL,796.87,MAD,2026-02-05,THURSDAY,0,14,93,Casablanca,Morocco,1,1,1,0
EXP00025,EMP061,Sales,Director,OTHER,257.87,MAD,2026-05-19,TUESDAY,0,8,0,Tanger,Morocco,1,1,7,0
EXP00026,EMP117,HR,Director,FUEL,329.54,MAD,2026-04-13,MONDAY,0,8,84,Fès,Morocco,1,1,3,0
EXP00027,EMP056,IT,Junior,MEAL,156.85,MAD,2026-05-23,SATURDAY,1,18,0,Fès,Morocco,1,1,3,0
EXP00028,EMP041,IT,Junior,MEAL,145.37,MAD,2026-01-13,TUESDAY,0,17,0,Rabat,Morocco,1,1,5,0
EXP00029,EMP064,Marketing,Junior,TRAVEL,387.96,MAD,2026-01-18,SUNDAY,1,18,120,Agadir,Morocco,1,1,5,0
EXP00030,EMP053,Operations,Manager,MEAL,131.57,MAD,2026-06-18,THURSDAY,0,17,0,Rabat,Morocco,1,1,3,0
EXP00031,EMP019,IT,Director,MEAL,192.28,MAD,2026-02-03,TUESDAY,0,18,0,Agadir,Morocco,1,1,7,0
EXP00032,EMP018,Sales,Manager,HOTEL,862.96,MAD,2026-01-26,MONDAY,0,9,275,Marrakech,Morocco,1,1,3,0
EXP00033,EMP136,IT,Manager,MEAL,134.6,MAD,2026-05-20,WEDNESDAY,0,19,0,Fès,Morocco,1,1,7,0
EXP00034,EMP040,HR,Manager,OTHER,222.92,MAD,2026-02-04,WEDNESDAY,0,12,0,Agadir,Morocco,1,1,5,0
